State,Schools,Roads,Literacy
Andaman & Nicobar Island,410,353,86.27
Andhra Pradesh,60435,56961,67.66
Arunachal Pradesh,4012,2646,66.95
Assam,65894,54335,73.18
Bihar,80166,69162,63.82
Chhattisgarh,50705,44893,71.04
Punjab,28776,28650,76.68
Rajasthan,107931,84991,67.06
Sikkim,1279,1079,82.20
Tamil Nadu,57539,56547,80.30
Chandigarh,201,201,86.54
Telangana,40818,38315,66.46
Tripura,4844,3898,87.75
Uttar Pradesh,245919,236294,69.72
Uttarakhand,23660,18214,79.63
West Bengal,95723,84691,77.08
Odisha,68978,62223,73.45
Goa,1462,1433,87.40
Gujarat,44051,42617,79.31
Haryana,22268,21824,76.64
Himachal Pradesh,18024,14929,83.78
Jammu & Kashmir,28578,22634,68.74
Jharkhand,47441,25306,67.63
Karnataka,61739,56984,75.60
Kerala,16458,15992,93.91
Lakshadweep,41,33,92.28
Madhya Pradesh,142587,127889,70.63
Maharashtra,98213,95739,82.91
Manipur,4865,4084,79.85
Meghalaya,13277,7551,75.48
Mizoram,3072,2898,91.58
Nagaland,2799,2298,80.11
